page_url,api_url,brand_id,brand_name,corp_name,category_large,category_middle,year,startup_cost_만원,franchise_fee_만원,education_fee_만원,deposit_만원,other_cost_만원,avg_sales_만원,avg_sales_per_area_만원,store_count,new_store_count,contract_end_count,contract_cancel_count,name_change_count,closure_rate_percent,interior_area_평,interior_cost_min_만원,interior_cost_max_만원,interior_cost_mid_만원,business_start_date,business_years,store_count_percentile,avg_sales_percentile,total_cost_percentile,industry_avg_sales_만원,industry_avg_total_cost_만원
https://jshj.net/brands/%ED%99%8D%ED%9D%AC%ED%86%B5%EB%8B%AD-BRD_20230282,https://api.jshj.net/api/brands/BRD_20230282,BRD_20230282,홍희통닭,(주)참맛푸드,외식,치킨,2023,45920,5500,3300,2000,35120,0,0,28,3,0,0,0,0,10,16000,18000,17000,20220401,0년 0개월,22,,42,114849,59899
https://jshj.net/brands/%EB%85%B8%EC%83%81%EC%B9%98%ED%82%A8-BRD_20200553,https://api.jshj.net/api/brands/BRD_20200553,BRD_20200553,노상치킨,그레이스티엔에프(주),외식,치킨,2023,46100,5500,2200,1000,37400,36259,1437,26,5,8,0,2,30.77,10,15000,17000,16000,20200622,3년 11개월,22,79,43,114849,59899
https://jshj.net/brands/%EB%8B%AD%EC%9E%A5%EC%88%98%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C%E5%92%8C-BRD_20180732,https://api.jshj.net/api/brands/BRD_20180732,BRD_20180732,닭장수후라이드和,(주)주완푸드,외식,치킨,2023,33420,2750,1650,0,29020,294438,18523,48,2,2,7,8,18.75,10,15000,17000,16000,20180724,5년 10개월,22,18,18,114849,59899
https://jshj.net/brands/NAN%EA%B0%88%EB%B9%84%EC%9E%A5%ED%84%B0-BRD_20214635,https://api.jshj.net/api/brands/BRD_20214635,BRD_20214635,NAN갈비장터,(주)이임,외식,치킨,2023,38950,3300,1100,1000,33550,0,0,0,10,0,14,0,,10,20000,23000,21500,20210316,3년 2개월,23,76,30,114849,59899
https://jshj.net/brands/%EC%96%91%EA%B3%84%EC%9E%A5%EC%A7%91%EC%95%84%EB%93%A4-BRD_20171499,https://api.jshj.net/api/brands/BRD_20171499,BRD_20171499,양계장집아들,(주)양계장집아들,외식,치킨,2023,64180,5500,2200,5000,51480,206088,10941,51,3,0,7,0,13.73,15,28000,31000,29500,20160201,8년 3개월,23,36,69,114849,59899
https://jshj.net/brands/%EB%8B%AD%EA%B0%95%EC%A0%95%EA%B3%B5%EB%B0%A9-BRD_20201292,https://api.jshj.net/api/brands/BRD_20201292,BRD_20201292,닭강정공방,(주)제뉴인비스트로,외식,치킨,2024,38850,3300,2200,2000,31350,178230,12819,34,22,0,4,3,11.76,8,12000,14000,13000,20200915,4년 6개월,23,76,29,114849,59899
https://jshj.net/brands/%EA%B2%BD%EC%95%84%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20090500007,https://api.jshj.net/api/brands/BRD_20090500007,BRD_20090500007,경아두마리치킨,(주)다시만난사람들,외식,치킨,2023,28100,2200,1100,1000,23800,124546,8813,60,5,0,16,4,26.67,10,11000,13000,12000,20041201,19년 5개월,23,54,9,114849,59899
https://jshj.net/brands/%EC%B6%94%EB%8B%AD%EC%A7%91-BRD_20180413,https://api.jshj.net/api/brands/BRD_20180413,BRD_20180413,추닭집,패밀리에프엔씨,외식,치킨,2023,35760,3300,2200,1000,29260,161285,13113,30,1,0,5,0,16.67,10,15000,17000,16000,20160410,8년 1개월,23,56,23,114849,59899
https://jshj.net/brands/%EC%A7%B1%EB%8B%AD%EC%B9%98%ED%82%A8-BRD_20110100528,https://api.jshj.net/api/brands/BRD_20110100528,BRD_20110100528,짱닭치킨,(주)푸드지니어스,외식,치킨,2023,38015,3300,2200,1000,31515,347149,22051,46,5,0,10,0,21.74,,,,,20120830,11년 9개월,23,51,26,114849,59899
https://jshj.net/brands/%ED%94%84%EB%9E%91%ED%82%A8%20%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20211703,https://api.jshj.net/api/brands/BRD_20211703,BRD_20211703,프랑킨 바베큐치킨,(주)더윈썸,외식,치킨,2024,49116,3300,2200,4000,39616,233219,5379,38,14,0,9,7,23.68,10,21000,24000,22500,20210903,3년 6개월,24,31,49,114849,59899
https://jshj.net/brands/%EB%8B%A4%EA%B0%80%EC%B9%98%ED%86%B5%EB%8B%AD-BRD_20200774,https://api.jshj.net/api/brands/BRD_20200774,BRD_20200774,다가치통닭,(주)다가치,외식,치킨,2023,41750,2200,550,1000,38000,0,0,0,5,0,9,0,,10,19000,21000,20000,20200429,4년 1개월,24,66,35,114849,59899
https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%B1%85%EC%9D%B4-BRD_20080100393,https://api.jshj.net/api/brands/BRD_20080100393,BRD_20080100393,치킨뱅이,(주)인피트리,외식,치킨,2023,25650,5500,3300,2000,14850,268757,10631,42,0,0,7,2,16.67,0,0,0,0,20011208,22년 5개월,24,20,7,114849,59899
https://jshj.net/brands/%EB%B6%88%EC%95%84%EB%8D%94%20%EC%88%AF%EB%B6%88%EB%B0%94%EB%B2%A0%ED%81%90-BRD_20220745,https://api.jshj.net/api/brands/BRD_20220745,BRD_20220745,불아더 숯불바베큐,(주)맨즈키친,외식,치킨,2023,48360,5500,2200,3000,37660,274083,19046,14,10,0,1,1,7.14,10,17000,20000,18500,20210301,3년 2개월,24,75,48,114849,59899
https://jshj.net/brands/%EC%B2%A0%EC%9D%B87%ED%98%B8-BRD_20150477,https://api.jshj.net/api/brands/BRD_20150477,BRD_20150477,철인7호,(주)철인에프앤비,외식,치킨,2023,69650,5500,2200,2000,59950,185934,10245,57,11,0,26,6,45.61,20,31000,35000,33000,20131009,10년 7개월,25,37,74,114849,59899
https://jshj.net/brands/%ED%95%9C%EC%95%A4%EB%91%98%EC%B9%98%ED%82%A8-BRD_20090100577,https://api.jshj.net/api/brands/BRD_20090100577,BRD_20090100577,한앤둘치킨,(주)더콥,외식,치킨,2024,78011,5500,3300,2000,67211,157311,6106,29,5,6,0,1,20.69,20,42000,47000,44500,20090924,15년 6개월,25,65,83,114849,59899
https://jshj.net/brands/%EA%B0%90%ED%83%84%EA%B3%84%EC%88%AF%EB%B6%88%EC%B9%98%ED%82%A8-BRD_20201630,https://api.jshj.net/api/brands/BRD_20201630,BRD_20201630,감탄계숯불치킨,원앤원(주),외식,치킨,2023,114418,8800,3300,4000,98318,495846,27718,9,10,1,0,0,11.11,10,19000,22000,20500,19580225,2년 4개월,26,19,80,114849,59899
https://jshj.net/brands/%EB%A7%8C%EB%85%84%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20160892,https://api.jshj.net/api/brands/BRD_20160892,BRD_20160892,만년닭강정,(주)만년푸드,외식,치킨,2023,51050,4400,3300,1000,42350,403107,28132,28,7,0,10,0,35.71,10,5200,5800,5500,20161105,7년 6개월,26,14,54,114849,59899
https://jshj.net/brands/%EC%A7%80%EB%9E%84%EB%8B%AD%EB%B0%9C-BRD_20190770,https://api.jshj.net/api/brands/BRD_20190770,BRD_20190770,지랄닭발,(주)더기푸드,외식,치킨,2023,58300,11000,5500,0,41800,342670,25235,39,1,0,2,0,5.13,15,34000,38000,36000,20190301,5년 2개월,26,7,64,114849,59899
https://jshj.net/brands/%EC%B9%98%EB%B0%A5%EB%8C%80%EC%9E%A5%EC%88%AF%EB%B6%88%EC%96%91%EB%85%9092%EC%B9%98%ED%82%A8-BRD_20210097,https://api.jshj.net/api/brands/BRD_20210097,BRD_20210097,치밥대장숯불양념92치킨,(주)괴짜푸드컴퍼니,외식,치킨,2023,49420,6600,2200,0,40620,0,0,0,0,0,0,0,,10,22000,25000,23500,20230331,3년 3개월,26,35,54,114849,59899
https://jshj.net/brands/%EC%95%BC%EB%93%A4%EB%A6%AC%EC%95%A0-BRD_20090100067,https://api.jshj.net/api/brands/BRD_20090100067,BRD_20090100067,야들리애,(주)제이케이글로벌,외식,치킨,2023,124220,5500,3300,3000,112420,196570,9319,38,15,0,5,3,13.16,30,50000,55000,52500,20080405,16년 1개월,26,39,96,114849,59899
https://jshj.net/brands/%EC%A2%85%EA%B5%AD%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20080600013,https://api.jshj.net/api/brands/BRD_20080600013,BRD_20080600013,종국이두마리치킨,종국이두마리치킨체인본부,외식,치킨,2023,17400,2200,1100,2000,12100,162601,12761,43,2,7,0,1,16.28,0,0,0,0,20030504,21년 0개월,26,59,4,114849,59899
https://jshj.net/brands/%EB%B0%B0%ED%86%B5-BRD_20212206,https://api.jshj.net/api/brands/BRD_20212206,BRD_20212206,배통,(주)배통,외식,치킨,2023,38950,5500,2200,1000,30250,187785,8262,25,23,0,0,0,0,10,15000,17000,16000,20211103,2년 6개월,26,17,29,114849,59899
https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%9D%B8%EB%A5%98-BRD_20201254,https://api.jshj.net/api/brands/BRD_20201254,BRD_20201254,치킨인류,(주)비에스비푸드,외식,치킨,2023,39500,5500,5500,1000,27500,242218,14956,36,21,2,20,1,61.11,10,15000,17000,16000,20201116,3년 6개월,27,16,30,114849,59899
https://jshj.net/brands/%EC%B2%9C%EB%85%84%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20240072,https://api.jshj.net/api/brands/BRD_20240072,BRD_20240072,천년닭강정,(주)그남자네식품,외식,치킨,2024,48100,5500,2200,3000,37400,0,0,0,0,0,0,0,,10,20000,23000,21500,None,0년 0개월,27,1,46,114849,59899
https://jshj.net/brands/%EC%B9%98%EC%88%9C%EC%9D%B4%ED%86%B5%EB%8B%AD-BRD_20180747,https://api.jshj.net/api/brands/BRD_20180747,BRD_20180747,치순이통닭,유림에프앤비(유),외식,치킨,2023,55000,1650,1650,0,51700,161960,8455,27,7,0,0,4,0,20,31000,35000,33000,20180612,5년 11개월,28,99,59,114849,59899
https://jshj.net/brands/%EC%A7%84%EB%AF%B8%EB%8C%80%EC%99%95%ED%86%B5%EB%8B%AD-BRD_20180608,https://api.jshj.net/api/brands/BRD_20180608,BRD_20180608,진미대왕통닭,베스트프랜차이즈컨설팅,외식,치킨,2023,39300,5500,2200,3000,28600,233933,15292,37,47,2,8,0,27.03,10,12000,14000,13000,20180104,6년 4개월,28,33,30,114849,59899
https://jshj.net/brands/%EC%94%A8%EC%97%90%ED%94%84%EC%88%AF%EB%B6%88%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20080200112,https://api.jshj.net/api/brands/BRD_20080200112,BRD_20080200112,씨에프숯불바베큐치킨,(주)씨에프,외식,치킨,2023,39050,0,0,0,39050,54573,4238,30,0,0,0,2,0,10,13000,15000,14000,19730119,28년 3개월,28,90,30,114849,59899
https://jshj.net/brands/%EC%98%A4%EB%B6%80%EC%9E%A5%EC%B9%98%ED%82%A8-BRD_20150724,https://api.jshj.net/api/brands/BRD_20150724,BRD_20150724,오부장치킨,(주)본에스디코리아,외식,치킨,2023,29100,0,1100,0,28000,178505,10198,32,2,1,3,3,12.5,10,13000,15000,14000,20150606,8년 11개월,28,43,11,114849,59899
https://jshj.net/brands/%EC%8B%A0%ED%99%94%EB%B6%88%EB%8B%AD%EB%B0%9C-BRD_20191266,https://api.jshj.net/api/brands/BRD_20191266,BRD_20191266,신화불닭발,신화,외식,치킨,2023,54900,11000,5500,1000,37400,0,0,29,4,0,0,0,0,15,18000,21000,19500,20191201,4년 5개월,28,,59,114849,59899
https://jshj.net/brands/%EC%95%84%EC%9D%B4%EB%B2%97%20%EC%B9%98%ED%82%A8-BRD_20141157,https://api.jshj.net/api/brands/BRD_20141157,BRD_20141157,아이벗 치킨,아이프랜드,외식,치킨,2023,37200,5500,2200,2000,27500,169222,13348,35,3,0,5,4,14.29,10,15000,17000,16000,20141215,9년 5개월,29,64,25,114849,59899
https://jshj.net/brands/%ED%97%88%EA%B0%88%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20180793,https://api.jshj.net/api/brands/BRD_20180793,BRD_20180793,허갈닭강정,(주)유성에프앤비,외식,치킨,2023,19300,1650,1650,0,16000,67123,5619,37,0,0,8,0,21.62,10,4700,5300,5000,20180401,6년 1개월,29,83,4,114849,59899
https://jshj.net/brands/%EB%8B%B9%EC%8B%A0%EC%9D%80%EC%A7%80%EA%B8%88%EC%B9%98%ED%82%A8%EC%9D%B4%EB%95%A1%EA%B8%B4%EB%8B%A4-BRD_20211217,https://api.jshj.net/api/brands/BRD_20211217,BRD_20211217,당신은지금치킨이땡긴다,(주)바이포엠에프앤티(BY4MFNTCorp.),외식,치킨,2023,86960,6600,4400,3000,72960,141159,12924,84,50,0,24,10,28.57,10,15000,17000,16000,20210412,3년 1개월,30,48,48,114849,59899
https://jshj.net/brands/%ED%99%94%EB%A5%B4%ED%99%94%EB%A5%B4-BRD_20120300066,https://api.jshj.net/api/brands/BRD_20120300066,BRD_20120300066,화르화르,(주)에이치브라더스,외식,치킨,2023,28000,0,0,2000,26000,0,0,27,0,0,0,0,0,20,0,0,0,20120611,11년 11개월,30,,8,114849,59899
https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%8D%94%ED%99%88-BRD_20080100499,https://api.jshj.net/api/brands/BRD_20080100499,BRD_20080100499,치킨더홈,(주)멕시카나,외식,치킨,2023,32160,8580,1100,1000,21480,0,0,0,0,0,0,0,,,,,,20070517,17년 0개월,30,49,16,114849,59899
https://jshj.net/brands/%EB%AC%B4%EB%B4%A4%EB%82%98%EC%B4%8C%EB%8B%AD-BRD_20080300015,https://api.jshj.net/api/brands/BRD_20080300015,BRD_20080300015,무봤나촌닭,(주)무촌식품,외식,치킨,2023,77010,3300,0,1000,72710,359972,12578,31,5,0,4,1,12.9,30,39000,44000,41500,20030401,21년 1개월,30,13,83,114849,59899
https://jshj.net/brands/%EB%B0%B0%EB%8B%AC%EB%B9%84%EB%AC%B4%EB%A3%8C%EC%B9%98%EB%B0%A5%EC%A0%9C%EC%9C%A1-BRD_20231461,https://api.jshj.net/api/brands/BRD_20231461,BRD_20231461,배달비무료치밥&제육,(주)세현에프앤비,외식,치킨,2023,14900,1100,0,0,13800,0,0,0,0,0,0,0,,7,9000,11000,10000,None,0년 0개월,31,97,,114849,59899
https://jshj.net/brands/%EC%88%9C%EC%B9%98%ED%82%A8-BRD_20200381,https://api.jshj.net/api/brands/BRD_20200381,BRD_20200381,순치킨,(주)인푸드,외식,치킨,2025,,,,,,155737,10836,16,11,0,10,1,62.5,10,14000,16000,15000,20180227,,31,32,38,114849,59899
https://jshj.net/brands/%EC%83%88%EC%9A%B0%EC%B9%98%ED%82%A8%EB%8D%A4-BRD_20215448,https://api.jshj.net/api/brands/BRD_20215448,BRD_20215448,새우치킨덤,도움,외식,치킨,2024,30800,3300,2200,0,25300,71453,6504,37,8,18,2,0,54.05,,,,,20211203,3년 3개월,31,88,13,114849,59899
https://jshj.net/brands/%EA%B3%B5%EB%A7%8C%EC%B9%98%ED%82%A8-BRD_20210311,https://api.jshj.net/api/brands/BRD_20210311,BRD_20210311,공만치킨,(주)공만치킨,외식,치킨,2024,67570,5500,2200,3000,56870,147688,7370,28,0,0,0,0,0,,,,,20200101,5년 2개월,31,39,73,114849,59899
https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%A9%A4%EB%B2%84-BRD_20160070,https://api.jshj.net/api/brands/BRD_20160070,BRD_20160070,치킨멤버,닭촌축산,외식,치킨,2023,23500,0,0,0,23500,74173,4217,26,2,5,0,0,19.23,15,14000,16000,15000,20131001,10년 7개월,31,84,5,114849,59899
https://jshj.net/brands/%EC%9D%B8%EC%A0%95%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C-BRD_20230590,https://api.jshj.net/api/brands/BRD_20230590,BRD_20230590,인정후라이드,(주)인정메이트,외식,치킨,2023,0,0,0,0,0,0,0,0,0,0,0,0,,33,18000,21000,19500,None,0년 0개월,31,69,,114849,59899
https://jshj.net/brands/%EC%8C%8D%EB%91%A5%EC%9D%B4%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20220395,https://api.jshj.net/api/brands/BRD_20220395,BRD_20220395,쌍둥이숯불두마리치킨,숯불치킨전문기업투엘,외식,치킨,2023,23280,5500,2200,0,15580,254163,18233,17,17,0,0,0,0,10,10000,12000,11000,20220528,2년 1개월,32,22,5,114849,59899
