brand_name,corp_name,year,startup_cost_만원,avg_sales_만원,store_count,closure_rate_percent,new_store_count,contract_end_count,contract_cancel_count,business_years,page_url
가마로강정,(주)마세다린,2023,37940,0,0,,4,0,16,52년 10개월,https://jshj.net/brands/%EA%B0%80%EB%A7%88%EB%A1%9C%EA%B0%95%EC%A0%95-BRD_20120100651
순살만공격,(주)프로스이앤에프,2024,57300,322891,200,19,13,5,33,3년 9개월,https://jshj.net/brands/%EC%88%9C%EC%82%B4%EB%A7%8C%EA%B3%B5%EA%B2%A9-BRD_20211707
알통떡강정,(주)알통컴퍼니,2023,38600,110536,145,15.86,8,0,23,12년 4개월,https://jshj.net/brands/%EC%95%8C%ED%86%B5%EB%96%A1%EA%B0%95%EC%A0%95-BRD_20130100381
치킨매니아,(주)코리아델로스케이디,2023,95490,198792,163,30.06,11,0,49,16년 6개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%A7%A4%EB%8B%88%EC%95%84-BRD_20080100545
김종구식맛치킨ㆍ 전기바베큐 옛날통닭,(주)김종구참푸드,,,,,,,,,,https://jshj.net/brands/%EA%B9%80%EC%A2%85%EA%B5%AC%EC%8B%9D%EB%A7%9B%EC%B9%98%ED%82%A8%E3%86%8D%20%EC%A0%84%EA%B8%B0%EB%B0%94%EB%B2%A0%ED%81%90%20%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20214050
호치킨,다인에프씨(주),2025,,335178,112,31.25,15,15,20,,https://jshj.net/brands/%ED%98%B8%EC%B9%98%ED%82%A8-BRD_20120100525
불로만치킨바베큐,(주)불로만,2023,70300,0,0,,3,0,11,26년 1개월,https://jshj.net/brands/%EB%B6%88%EB%A1%9C%EB%A7%8C%EC%B9%98%ED%82%A8%EB%B0%94%EB%B2%A0%ED%81%90-BRD_20080200073
본스치킨,(주)비에이지본스,2023,74425,140278,110,20.91,6,0,23,17년 1개월,https://jshj.net/brands/%EB%B3%B8%EC%8A%A4%EC%B9%98%ED%82%A8-BRD_20080100055
장모님치킨,장모육계유통,2023,44540,74351,108,13.89,3,0,15,34년 7개월,https://jshj.net/brands/%EC%9E%A5%EB%AA%A8%EB%8B%98%EC%B9%98%ED%82%A8-BRD_20080300005
다사랑,(주)다사랑,2023,140700,466767,96,8.33,12,0,8,21년 9개월,https://jshj.net/brands/%EB%8B%A4%EC%82%AC%EB%9E%91-BRD_20080400025
갓튀긴후라이드,(주)갓에프엔비,2023,34550,420121,33,0,10,0,0,5년 8개월,https://jshj.net/brands/%EA%B0%93%ED%8A%80%EA%B8%B4%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C-BRD_20190753
오븐에 꾸운 닭,계림F&C,2023,149500,181627,120,11.67,5,14,0,61년 8개월,https://jshj.net/brands/%EC%98%A4%EB%B8%90%EC%97%90%20%EA%BE%B8%EC%9A%B4%20%EB%8B%AD-BRD_20090300039
코리안바베큐,(주)티비비씨,2023,71000,158030,112,8.93,6,0,10,26년 2개월,https://jshj.net/brands/%EC%BD%94%EB%A6%AC%EC%95%88%EB%B0%94%EB%B2%A0%ED%81%90-BRD_20080200047
DK동키치킨,디케이팩토리(DKFACTORY),2023,57800,81480,102,0,10,0,0,6년 4개월,https://jshj.net/brands/DK%EB%8F%99%ED%82%A4%EC%B9%98%ED%82%A8-BRD_20171186
인생닭강정,(주)인생닭강정,2023,41590,144223,134,28.36,28,0,38,4년 1개월,https://jshj.net/brands/%EC%9D%B8%EC%83%9D%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20200209
명가통닭,(주)명가참푸드,2023,23500,213791,75,18.67,11,6,8,4년 4개월,https://jshj.net/brands/%EB%AA%85%EA%B0%80%ED%86%B5%EB%8B%AD-BRD_20200798
디디치킨(DD치킨),(주)디디에프엔비,2023,38550,138491,114,27.19,27,0,31,21년 0개월,https://jshj.net/brands/%EB%94%94%EB%94%94%EC%B9%98%ED%82%A8(DD%EC%B9%98%ED%82%A8)-BRD_20080200132
둘둘치킨,(주)일동인터내쇼날,2023,65800,153272,85,15.29,4,0,13,26년 11개월,https://jshj.net/brands/%EB%91%98%EB%91%98%EC%B9%98%ED%82%A8-BRD_20080100172
화평댁닭구이,(주)더킹에프엔씨,2023,70100,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%ED%99%94%ED%8F%89%EB%8C%81%EB%8B%AD%EA%B5%AC%EC%9D%B4-BRD_20230971
쌀통닭,(주)호림,2023,72600,213558,82,14.63,8,12,0,11년 0개월,https://jshj.net/brands/%EC%8C%80%ED%86%B5%EB%8B%AD-BRD_20130123
냠냠숯불두마리치킨,(주)냠냠푸드,2023,46100,201857,72,0,22,0,0,5년 1개월,https://jshj.net/brands/%EB%83%A0%EB%83%A0%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20190293
구도로통닭,(주)구도로,2023,115523,677880,75,2.67,55,0,2,4년 0개월,https://jshj.net/brands/%EA%B5%AC%EB%8F%84%EB%A1%9C%ED%86%B5%EB%8B%AD-BRD_20201537
1번지통닭,(주)원쓰푸드,2024,49500,338895,63,6.35,19,4,0,5년 10개월,https://jshj.net/brands/1%EB%B2%88%EC%A7%80%ED%86%B5%EB%8B%AD-BRD_20240140
오늘통닭,(주)대현푸드빌,2023,64700,213256,80,22.5,49,6,12,15년 8개월,https://jshj.net/brands/%EC%98%A4%EB%8A%98%ED%86%B5%EB%8B%AD-BRD_20090100082
이춘봉치킨,(주)마스터아이디,2023,48730,89761,89,73.03,23,0,65,7년 5개월,https://jshj.net/brands/%EC%9D%B4%EC%B6%98%EB%B4%89%EC%B9%98%ED%82%A8-BRD_20170560
충만치킨,(주)씨엠치킨,2023,87170,205188,99,27.27,2,0,27,10년 3개월,https://jshj.net/brands/%EC%B6%A9%EB%A7%8C%EC%B9%98%ED%82%A8-BRD_20140594
계동치킨,(주)신성유통,2023,39600,0,86,12.79,2,0,11,19년 8개월,https://jshj.net/brands/%EA%B3%84%EB%8F%99%EC%B9%98%ED%82%A8-BRD_20080600017
림스치킨,림스상사(림스고려인삼홍삼상사),2023,51000,0,59,22.03,8,0,13,46년 10개월,https://jshj.net/brands/%EB%A6%BC%EC%8A%A4%EC%B9%98%ED%82%A8-BRD_20090100151
아주커,(주)에이에프씨코리아,2023,33300,254027,68,7.35,6,0,5,25년 10개월,https://jshj.net/brands/%EC%95%84%EC%A3%BC%EC%BB%A4-BRD_20080400001
컬투치킨,(주)컬투에프앤비,2023,47270,154104,72,25,10,18,0,13년 2개월,https://jshj.net/brands/%EC%BB%AC%ED%88%AC%EC%B9%98%ED%82%A8-BRD_20100100628
박군치킨,(주)홈델리,2025,,99599,65,9.23,8,0,6,,https://jshj.net/brands/%EB%B0%95%EA%B5%B0%EC%B9%98%ED%82%A8-BRD_20130438
두레통닭,(주)도담에프앤에스,2023,40400,183631,33,3.03,24,1,0,5년 0개월,https://jshj.net/brands/%EB%91%90%EB%A0%88%ED%86%B5%EB%8B%AD-BRD_20190677
칠봉통닭,(주)신라외식개발,2023,40830,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%B9%A0%EB%B4%89%ED%86%B5%EB%8B%AD-BRD_20215034
